#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
239,Chargebee,San Francisco Bay Area,USA,North America,100,2023-09-11 00:00:00 UTC,10,1000,900,Finance,Series H,$468,2023,37.77493,-122.41942
241,Grabango,San Francisco Bay Area,USA,North America,34,2023-09-11 00:00:00 UTC,40,85,51,Food,Unknown,$94,2023,37.87159,-122.27275
247,Drift,Boston,USA,North America,100,2023-09-07 00:00:00 UTC,25,400,300,Marketing,Acquired,$107,2023,42.35843,-71.05977
249,Roku,San Francisco Bay Area,USA,North America,360,2023-09-06 00:00:00 UTC,10,3600,3240,Media,Post-IPO,$208,2023,37.33939,-121.89496
255,Absci,Portland,USA,North America,30,2023-09-05 00:00:00 UTC,15,200,170,Healthcare,Post-IPO,$238,2023,45.52345,-122.67621
256,Hodinkee,New York City,USA,North America,24,2023-09-05 00:00:00 UTC,20,120,96,Retail,Seed,$40,2023,40.71427,-74.00597
260,Nexar,New York City,USA,North America,17,2023-09-04 00:00:00 UTC,14,121,104,Transportation,Series D,$149,2023,40.71427,-74.00597
270,Omuni,Bengaluru,India,Asia,60,2023-08-30 00:00:00 UTC,35,171,111,Retail,Acquired,$10,2023,12.97194,77.59369
271,Kenko Health,Mumbai,India,Asia,50,2023-08-30 00:00:00 UTC,20,250,200,Healthcare,Series A,$14,2023,19.07283,72.88261
272,Huma,London,United Kingdom,Europe,45,2023-08-30 00:00:00 UTC,10,450,405,Healthcare,Unknown,$217,2023,51.50853,-0.12574
273,Zeplin,San Francisco Bay Area,USA,North America,37,2023-08-30 00:00:00 UTC,35,106,69,Product,Seed,$1,2023,37.77493,-122.41942
274,Kenko Health,Mumbai,India,Asia,50,2023-08-29 00:00:00 UTC,20,250,200,Healthcare,Unknown,$14,2023,19.07283,72.88261
276,Zebra Technologies,Chicago,USA,North America,700,2023-08-28 00:00:00 UTC,7,10000,9300,Manufacturing,Post-IPO,2000,2023,41.85003,-87.65005
283,Captiv8,San Francisco Bay Area,USA,North America,8,2023-08-24 00:00:00 UTC,3,267,259,Marketing,Unknown,$4,2023,37.56299,-122.32553
285,Atlas,Chicago,USA,North America,150,2023-08-23 00:00:00 UTC,30,500,350,HR,Series B,$220,2023,41.85003,-87.65005
286,Veriff,Tallinn,Estonia,Europe,101,2023-08-23 00:00:00 UTC,21,481,380,Security,Series C,$192,2023,59.43696,24.75353
287,BlackLine,Los Angeles,USA,North America,95,2023-08-23 00:00:00 UTC,5,1900,1805,Finance,Post-IPO,$220,2023,34.05223,-118.24368
291,Getir,London,United Kingdom,Europe,2500,2023-08-22 00:00:00 UTC,11,22727,20227,Food,Series E,$1800,2023,51.50853,-0.12574
298,Twiga,Nairobi,Kenya,Africa,283,2023-08-20 00:00:00 UTC,33,858,575,Food,Series C,$157,2023,-1.28333,36.81667
305,AppFolio,Santa Barbara,USA,North America,149,2023-08-17 00:00:00 UTC,9,1656,1507,Real Estate,Post-IPO,$30,2023,34.42083,-119.69819
307,StreamElements,Tel Aviv,Israel,Asia,60,2023-08-17 00:00:00 UTC,35,171,111,Media,Series B,$111,2023,32.08088,34.78057
311,SecureWorks,Atlanta,USA,North America,300,2023-08-14 00:00:00 UTC,15,2000,1700,Security,Post-IPO,$83,2023,33.749,-84.38798
320,Blend,San Francisco Bay Area,USA,North America,150,2023-08-09 00:00:00 UTC,19,789,639,Finance,Post-IPO,$665,2023,37.77493,-122.41942
323,Dealtale,Tel Aviv,Israel,Asia,70,2023-08-09 00:00:00 UTC,100,70,0,Sales,Acquired,$2,2023,32.08088,34.78057
328,Thoughtworks,Chicago,USA,North America,579,2023-08-08 00:00:00 UTC,5,11580,11001,Other,Post-IPO,$748,2023,41.85003,-87.65005
329,Rapid7,Boston,USA,North America,470,2023-08-08 00:00:00 UTC,18,2611,2141,Security,Post-IPO,$89,2023,42.35843,-71.05977
331,Doximity,San Francisco Bay Area,USA,North America,100,2023-08-08 00:00:00 UTC,10,1000,900,Healthcare,Post-IPO,$82,2023,37.77493,-122.41942
332,23andMe,San Francisco Bay Area,USA,North America,71,2023-08-08 00:00:00 UTC,11,645,574,Healthcare,Post-IPO,$1100,2023,37.77493,-122.41942
339,Top Hat,Toronto,Canada,North America,42,2023-08-04 00:00:00 UTC,7,600,558,Education,Series E,$234,2023,43.70643,-79.39864
342,Discord,San Francisco Bay Area,USA,North America,37,2023-08-03 00:00:00 UTC,4,925,888,Consumer,Series H,$995,2023,37.77493,-122.41942
347,Spinny,Gurugram,India,Asia,300,2023-08-02 00:00:00 UTC,5,6000,5700,Transportation,Series E,$513,2023,28.4601,77.02635
348,Tekion,Bengaluru,India,Asia,300,2023-08-02 00:00:00 UTC,10,3000,2700,Other,Series D,$435,2023,12.97194,77.59369
349,BetterUp,San Francisco Bay Area,USA,North America,100,2023-08-02 00:00:00 UTC,16,625,525,HR,Series E,$567,2023,37.77493,-122.41942
350,Augury,New York City,USA,North America,70,2023-08-02 00:00:00 UTC,18,389,319,Manufacturing,Series E,$274,2023,40.71427,-74.00597
352,Gupy,Sao Paulo,Brazil,South America,58,2023-08-02 00:00:00 UTC,8,725,667,HR,Series B,$105,2023,-23.5475,-46.63611
361,Vesttoo,Tel Aviv,Israel,Asia,150,2023-08-01 00:00:00 UTC,75,200,50,Finance,Series C,$110,2023,32.08088,34.78057
362,Planet,San Francisco Bay Area,USA,North America,117,2023-08-01 00:00:00 UTC,10,1170,1053,Aerospace,Post-IPO,$574,2023,37.77493,-122.41942
363,Paper,Montreal,Canada,North America,106,2023-08-01 00:00:00 UTC,4,2650,2544,Education,Series D,$389,2023,45.50884,-73.58781
364,Archipelago,San Francisco Bay Area,USA,North America,40,2023-08-01 00:00:00 UTC,30,133,93,Real Estate,Series B,$57,2023,37.77493,-122.41942
370,Fable,Toronto,Canada,North America,13,2023-07-31 00:00:00 UTC,9,144,131,Other,Series A,$12,2023,43.70643,-79.39864
373,Kape Technologies,London,United Kingdom,Europe,200,2023-07-30 00:00:00 UTC,30,667,467,Security,Post-IPO,$188,2023,51.50853,-0.12574
374,Eroad,Auckland,New Zealand,Australia,200,2023-07-28 00:00:00 UTC,31,645,445,Transportation,Unknown,$46,2023,-36.84853,174.76349
377,Milkbasket,Gurugram,India,Asia,400,2023-07-27 00:00:00 UTC,67,597,197,Food,Acquired,$39,2023,28.4601,77.02635
378,Wish,San Francisco Bay Area,USA,North America,255,2023-07-27 00:00:00 UTC,34,750,495,Retail,Post-IPO,$1600,2023,37.77493,-122.41942
379,Point,San Francisco Bay Area,USA,North America,61,2023-07-27 00:00:00 UTC,28,218,157,Real Estate,Series C,$149,2023,37.77493,-122.41942
381,Verbit,New York City,USA,North America,60,2023-07-27 00:00:00 UTC,6,1000,940,Data,Series E,$569,2023,40.71427,-74.00597
384,Copia,Nairobi,Kenya,Africa,350,2023-07-26 00:00:00 UTC,25,1400,1050,Retail,Series C,$103,2023,-1.28333,36.81667
385,Figure,San Francisco Bay Area,USA,North America,90,2023-07-26 00:00:00 UTC,20,450,360,Crypto,Unknown,$1500,2023,37.77493,-122.41942
386,Calendly,Atlanta,USA,North America,60,2023-07-26 00:00:00 UTC,10,600,540,Other,Series B,$351,2023,33.749,-84.38798
389,Deep Instict,New York City,USA,North America,46,2023-07-25 00:00:00 UTC,15,307,261,Security,Unknown,$322,2023,40.71427,-74.00597
402,AgentSync,Denver,USA,North America,67,2023-07-19 00:00:00 UTC,24,279,212,Finance,Series B,$111,2023,39.73915,-104.9847
403,Inspirato,Denver,USA,North America,50,2023-07-19 00:00:00 UTC,6,833,783,Travel,Post-IPO,$179,2023,39.73915,-104.9847
404,Tilia,San Francisco Bay Area,USA,North America,28,2023-07-19 00:00:00 UTC,32,88,60,Finance,Unknown,$32,2023,37.77493,-122.41942
409,Sarcos,Salt Lake City,USA,North America,75,2023-07-17 00:00:00 UTC,25,300,225,Aerospace,Post-IPO,$316,2023,40.76078,-111.89105
415,PayScale,Seattle,USA,North America,14,2023-07-14 00:00:00 UTC,2,700,686,HR,Acquired,$33,2023,47.60621,-122.33207
419,AudioCodes,Tel Aviv,Israel,Asia,80,2023-07-13 00:00:00 UTC,6,1333,1253,Other,Post-IPO,$91,2023,32.08088,34.78057
422,Deepwatch,Tampa Bay,USA,North America,30,2023-07-13 00:00:00 UTC,7,429,399,Security,Series C,$256,2023,27.94752,-82.45843
432,DeepVerge,Dublin,Ireland,Europe,50,2023-07-12 00:00:00 UTC,100,50,0,Healthcare,Post-IPO,$20,2023,53.33306,-6.24889
433,Freightos,Miami,USA,North America,50,2023-07-12 00:00:00 UTC,13,385,335,Logistics,Post-IPO,$118,2023,25.77427,-80.19366
438,WayCool,Chennai,India,Asia,300,2023-07-11 00:00:00 UTC,12,2500,2200,Food,Unknown,$363,2023,13.08784,80.27847
